Gaelic language and cultural and supporting organizations,Street Address,City / Town,Postal Code
Whycocomagh and District Historical Society,RR #4,Whycocomagh,B0E 3M0
Inverness Development Agency,PO Box 743,Inverness,B0E 1N0
"Celtic Culture and Gaelic, Cape Breton University",P.O. Box 5300 1250 Grand Lake Rd. ,Sydney,B1P 6S9
Comann Féis an Eilein / Christmas Island Festival Society,P.O. Box 317,Christmas Island,B1T 1R7
Gàidhlig Agam / I Speak Gaelic Society,P.O. Box 185,Baddeck ,B0E 1B0
Colaisde na Gàidhlig / Gaelic College,PO Box 80 51779 Cabot Trail,Englishtown,B0C 1H0
Strathspey Place,PO Box 235 11156 Route 19,Mabou,BOE 1XO
Comhairle na Gàidhlig / The Gaelic Council of Nova Scotia,9 Keltic Drive Keltic Plaza,Sydney River,B1S 1P4
Celtic Cultural Society of Pictou County,RR # 1 Merigomish PO Box 176,Bailey's Brook,B0K 1G0
Historic Sherbrooke Village Development Society,P.O. Box 87,Sherbrooke,B0J 3C0
An Comann Ceilteach St.F.X. / Celtic Society St.F.X.,P.O. Box 5000,Antigonish,B2G 2W5
"Special Collections, St.F.X. University",PO Box 5000 3080 Martha Drive,Antigonish,B2G 2W5
St. Francis Xavier Celtic Studies Department,P.O. Box 5000,Antigonish,B2G 2W5
The Ships of 1801 Society,N/A,N/A,N/A
North Highlands Community Organization,RR #1,Dingwall,B0C 1G0
Celtic Cultural Society of Nova Scotia,P.O. Box 9401,Halifax,B3K 5S3
The Federation of Scottish Culture,PO Box 811,Lower Sackville,B4C 3V3
The St. Andrew's Society of Pictou County,75 Lavinia St.,New Glasgow,B2H 1N5
Mabou Gaelic & Historical Society,11513 Route 19,Mabou,B0E 1X0
Baile nan Gàidheal / Nova Scotia Highland Village,4119 Highway 223,Iona,B2C 1A3
Celtic Colours,850 Grand Lake Road Suite 8,Sydney,B1P 5T9
Celtic Music Interpretive Centre,5471 Hwy 19 PO Box 157,Judique,B0E 1P0
"Centre for European Studies, Dalhousie University",1376 LeMarchant Street PO Box 15000,Halifax,B3H 4R2
"Irish Studies Department, Saint Mary's University",923 Robie Street McNally Main 202 ,Halifax,B3H 3C3
North Shore Gaelic Heritage Society,42938 Cabot Trail,Englishtown,B0C 1H0
Antigonish Highland Society,20 East Main Street,Antigonish,B2G 2E9
Sgoil Gàidhlig an Ard Bhaile / Halifax Gaelic Language Society,163 Lakeland Street,Beaverbank,B4G 1A6
Comann Gàidhlig Antaiginis / Antigonish Gaelic Society,220 Main St.,Antigonish,B2G 2C2
Comann Féis Mhàbu / Mabou Festival Society,2437  West Mabou Rd.,Port Hood,B0E 2W0
Sgoil Ghàidhlig Baile a' Chlamhain / Port Hawkesbury Gaelic Language Society,65 Hilltop Drive,Port Hastings,B9A 1P2
Comann Gàidhlig Cheap Breatuinn / Cape Breton Gaelic Society,296 George St,Sydney,B1P 1J8
Festival of the Tartans,178 Forbes St,New Glasgow,B2H 4N9
Westmount Gaelic Society,600 Westmount Rd.,Sydney,B1R 1A6
New Trad Society ,6240 Summit Street,Halifax,B3L 1R7
Pictou County Roots Society,86 Haliburton Road,Pictou,B0K 1H0
Hector Heritage Quay,40 Water Street P.O. Box 640,Pictou,B0K 1H0
The Scots,"502 - 5657 Spring Garden Rd., Box 142",Halifax,B3J 3R4 
