Sector,Postal Code,Service Name,Civic Number,Street Name,Address2,City/Town,Province,,Location 1
Justice,B4H 3A6,Justice Centre - Amherst,16,Church Street,3rd Floor,Amherst,Nova Scotia,,"(45.832932, -64.21199)"
Justice,B2G 1R6,Justice Centre - Antigonish,11,James Street,,Antigonish,Nova Scotia,,"(45.615936, -62.000275)"
Justice,B4V 1W2,Justice Centre - Bridgewater,141,High Street,Suite 201,Bridgewater,Nova Scotia,,"(44.372487, -64.528969)"
Justice,B0V 1A0,Justice Centre - Digby,119,Queen Street ,,Digby,Nova Scotia,,"(44.621167, -65.75789)"
Justice,B0S 1A0,Justice Centre - Annapolis Royal,377,Saint George Street  ,,Annapolis Royal,Nova Scotia,,"(44.74208, -65.515931)"
Justice,B4N 2E5,Justice Centre - Kentville,87,Cornwallis Street ,,Kentville,Nova Scotia,,"(45.079182, -64.494261)"
Justice,B0K 1H0,Justice Centre - Pictou,69,Water Street ,PO Box 1750,Pictou,Nova Scotia,,"(45.675866, -62.711712)"
Justice,B9A 2Y1,Justice Centre - Port Hawkesbury,15,Kennedy Street,Suite 201,Port Hawkesbury,Nova Scotia,,"(45.612686, -61.359224)"
Justice,B1P 1C3,Justice Centre - Sydney,136,Charlotte Street,Suites 1&2,Sydney,Nova Scotia,,"(46.141578, -60.196428)"
Justice,B2N 3Z5,Justice Centre - Truro,1,Church Sreet ,PO Box 179,Truro,Nova Scotia,,"(45.36559, -63.275556)"
Justice,B5A 1C2,Justice Centre - Yarmouth,164,Main Street ,,Yarmouth,Nova Scotia,,"(43.830299, -66.120603)"
Justice,B0E 1A0,Satellite Court - Arichat,2357,Highway 206,PO Box 120,Arichat,Nova Scotia,,"(45.510961, -61.02641)"
Justice,B1W 1C2,Satellite Court - Eskasoni,,Sarah Denny Cultural Centre,Mini Mall Drive,Eskasoni,Nova Scotia,,"(45.930353, -60.646776)"
Justice,B0N 2H0,Satellite Court - Shubenacadie,5,Mill Village Road,,Shubenacadie,Nova Scotia,,"(45.086924, -63.409167)"
Justice,B0N 2T0,Satellite Court - Windsor,240,King Street,,Windsor,Nova Scotia,,"(44.993996, -64.134256)"
Justice,B2Y 3S2,Justice Centre - Halifax & Dartmouth (Dartmouth Provincial Court),200-277,Pleasant Street,,Dartmouth,Nova Scotia,,"(44.655774, -63.549188)"
Justice,B3K 5R5,Justice Centre - Halifax & Dartmouth (Halifax Supreme Court - Family Division),3380,Devonshire Avenue,,Halifax,Nova Scotia,,"(44.66686, -63.603325)"
Justice,B3J 1S7,Justice Centre - Halifax & Dartmouth (Halifax Supreme Court),1815,Upper Water Street,,Halifax,Nova Scotia,,"(44.649787, -63.572994)"
Justice,B3J 1E7,Justice Centre - Halifax & Dartmouth (Halifax Provincial Court),5250,Spring Garden Road,,Halifax,Nova Scotia,,"(44.643838, -63.573863)"
