Occupation,Job vacancies 4,Average offered hourly wage 5
,,
Management occupations  [0],615C,28.80B
"Business, finance and administration occupations  [1]","1,085B",19.75A
Natural and applied sciences and related occupations  [2],620D,25.05A
Health occupations  [3],"1,765B",23.75A
"Occupations in education, law and social, community and government services  [4]","1,260C",18.70A
"Occupations in art, culture, recreation and sport  [5]",x,x
Sales and service occupations  [6],"4,975B",13.00A
"Trades, transport and equipment operators and related occupations  [7]","1,735B",18.20A
"Natural resources, agriculture and related production occupations  [8]",260E,14.80A
Occupations in manufacturing and utilities  [9],685C,14.95A
Unclassified occupations 6,x,x
